"ISO3","word","n","total","tf","idf","tf_idf","ISO2","Country"
"BRA","crimes",2,1130,0.00176991150442478,1.48366852514507,0.0026259619914072,"BR","Brazil"
"BRA","culture",2,1130,0.00176991150442478,1.60429651293368,0.00283946285474988,"BR","Brazil"
"BRA","de",2,1130,0.00176991150442478,1.86666077740117,0.00330382438478084,"BR","Brazil"
"BRA","decided",2,1130,0.00176991150442478,1.83387095457818,0.00324578930013837,"BR","Brazil"
"BRA","democracy",2,1130,0.00176991150442478,0.825206902573012,0.00146054319039471,"BR","Brazil"
"BRA","democratic",2,1130,0.00176991150442478,0.885831524389446,0.00156784340599902,"BR","Brazil"
"BRA","developing",2,1130,0.00176991150442478,0.514267967956963,0.000910208792844183,"BR","Brazil"
"BRA","dollars",2,1130,0.00176991150442478,1.57897870494939,0.00279465257513167,"BR","Brazil"
"BRA","emerge",2,1130,0.00176991150442478,2.78295150927533,0.0049255778925227,"BR","Brazil"
"BRA","energy",2,1130,0.00176991150442478,0.472067613466587,0.000835517899940862,"BR","Brazil"
"BRA","escort",2,1130,0.00176991150442478,0.347877233235203,0.000615711917230448,"BR","Brazil"
"BRA","fair",2,1130,0.00176991150442478,1.09347088916769,0.00193534670649149,"BR","Brazil"
"BRA","families",2,1130,0.00176991150442478,1.63027199933694,0.00288543716696804,"BR","Brazil"
"BRA","fear",2,1130,0.00176991150442478,1.93565364888812,0.00342593566174889,"BR","Brazil"
"BRA","fighting",2,1130,0.00176991150442478,1.60429651293368,0.00283946285474988,"BR","Brazil"
"BRA","financial",2,1130,0.00176991150442478,0.423671072604737,0.00074986030549511,"BR","Brazil"
"BRA","food",2,1130,0.00176991150442478,0.455673803690911,0.000806502307417541,"BR","Brazil"
"BRA","force",2,1130,0.00176991150442478,0.950370045527018,0.00168207087703897,"BR","Brazil"
"BRA","forms",2,1130,0.00176991150442478,1.77135059759685,0.00313513380105637,"BR","Brazil"
"BRA","gentlemen",2,1130,0.00176991150442478,0.497173534597663,0.000879953158579935,"BR","Brazil"
"BRA","governance",2,1130,0.00176991150442478,0.81351086280982,0.00143984223506163,"BR","Brazil"
"BRA","growing",2,1130,0.00176991150442478,1.1247234326718,0.00199066094278194,"BR","Brazil"
"BRA","half",2,1130,0.00176991150442478,1.3166144404819,0.00233029104510071,"BR","Brazil"
"BRA","humanity",2,1130,0.00176991150442478,0.604419064951261,0.0010697682565509,"BR","Brazil"
"BRA","ignacio",2,1130,0.00176991150442478,4.57471097850338,0.00809683359027147,"BR","Brazil"
"BRA","imf",2,1130,0.00176991150442478,2.43464481500711,0.00430910586726922,"BR","Brazil"
"BRA","implement",2,1130,0.00176991150442478,0.991192040047273,0.00175432219477393,"BR","Brazil"
"BRA","implementing",2,1130,0.00176991150442478,1.3760378609527,0.00243546524062425,"BR","Brazil"
"BRA","inclusion",2,1130,0.00176991150442478,1.83387095457818,0.00324578930013837,"BR","Brazil"
"BRA","insecurity",2,1130,0.00176991150442478,1.336032526339,0.0023646593386531,"BR","Brazil"
"BRA","inspire",2,1130,0.00176991150442478,3.32194801000801,0.00587955400001419,"BR","Brazil"
"BRA","institution",2,1130,0.00176991150442478,1.6569402464191,0.0029326376042816,"BR","Brazil"
"BRA","launched",2,1130,0.00176991150442478,1.3760378609527,0.00243546524062425,"BR","Brazil"
"BRA","law",2,1130,0.00176991150442478,0.370018359112417,0.000654899750641446,"BR","Brazil"
"BRA","levels",2,1130,0.00176991150442478,1.09347088916769,0.00193534670649149,"BR","Brazil"
"BRA","libya",2,1130,0.00176991150442478,0.924052737209644,0.00163549157028256,"BR","Brazil"
"BRA","losses",2,1130,0.00176991150442478,2.37748640116716,0.00420794053303923,"BR","Brazil"
"BRA","luis",2,1130,0.00176991150442478,3.65842024662923,0.00647508008252961,"BR","Brazil"
"BRA","lula",2,1130,0.00176991150442478,4.16924587039522,0.007379196230788,"BR","Brazil"
"BRA","major",2,1130,0.00176991150442478,0.977398717914937,0.00172990923524768,"BR","Brazil"
"BRA","meeting",2,1130,0.00176991150442478,1.00517828202201,0.0017790766053487,"BR","Brazil"
"BRA","misinformation",2,1130,0.00176991150442478,3.88156379794344,0.00687002442113883,"BR","Brazil"
"BRA","multilateralism",2,1130,0.00176991150442478,0.735258665910072,0.00130134277152225,"BR","Brazil"
"BRA","nations",2,1130,0.00176991150442478,0.0638514719865328,0.000113011454843421,"BR","Brazil"
"BRA","negotiations",2,1130,0.00176991150442478,1.20741514851691,0.00213701796197683,"BR","Brazil"
